POS,,TEAM,P,W,L,NR,NRR,FOR,AGAINST,PTS,RECENT FORM
1,,KKR,14,9,3,2,1.428,2389/225.0,2135/232.2,20,NNWWW
2,,SRH,14,8,5,1,0.414,2605/247.0,2599/256.3,17,WNWLW
3,,RR,14,8,5,1,0.273,2334/252.1,2310/257.1,17,NLLLL
4,,RCB,14,7,7,0,0.459,2758/269.0,2646/270.1,14,WWWWW
5,,CSK,14,7,7,0,0.392,2524/274.4,2415/274.3,14,LWLWL
6,,DC,14,7,7,0,-0.377,2573/267.0,2762/275.5,14,WLWLW
7,,LSG,14,7,7,0,-0.667,2483/277.5,2521/262.3,14,WLLLW
8,,GT,14,5,7,2,-1.063,2040/238.2,2101/218.2,12,NNWLL
9,,PBKS,14,5,9,0,-0.353,2487/274.3,2612/277.3,10,LWLLW
10,,MI,14,4,10,0,-0.318,2568/268.5,2660/269.3,8,LLWLL
